ano,id_municipio,area,desmatado,incremento,floresta,nuvem,nao_observado,nao_floresta,hidrografia,percentual_desmatado
2000,1503903,8308,1028.5,0.0,5537.2,0.0,0.0,633.3,1109.0,12.379634087626384
2000,1504000,1494,0.5,0.0,934.3,0.0,0.5,50.9,507.8,0.03346720214190094
2000,1504059,471,377.2,0.0,0.0,0.0,471.9,0.0,1.4,80.08492569002122
2000,1504109,326,140.0,0.0,0.0,0.0,290.4,2.3,27.6,42.944785276073624
2000,1504208,15161,5818.9,0.0,9218.2,0.0,1.7,36.2,86.0,38.38071367324055
2000,1504307,860,258.6,0.0,0.0,0.0,516.5,33.2,121.4,30.069767441860467
2000,1504406,795,336.5,0.0,0.0,0.0,558.0,41.6,48.9,42.327044025157235
2000,1504422,103,54.4,0.0,0.0,0.0,103.6,0.0,7.2,52.815533980582515
2000,1504455,8272,848.9,0.0,7420.8,0.4,1.1,0.0,0.8,10.26233075435203
2000,1504505,6781,2.9,0.0,6084.0,0.5,0.9,166.3,526.4,0.04276655360566288
2000,1504604,872,470.5,0.0,158.4,0.0,0.0,168.2,74.9,53.956422018348626
2000,1504703,9129,2688.0,0.0,5057.2,0.0,1137.8,190.4,55.6,29.444627012816298
2000,1504802,19516,3935.6,0.0,12637.5,0.0,3.8,1799.4,1139.7,20.16601762656282
2000,1504901,3776,3.8,0.0,1924.3,0.0,1.0,1361.3,485.6,0.10063559322033898
2000,1504950,2829,1146.4,0.0,1682.1,0.0,0.5,0.0,0.0,40.523153057617535
2000,1504976,1569,985.9,0.0,366.7,0.0,0.0,122.6,93.8,62.83620140216698
2000,1505007,492,320.5,0.0,0.0,0.0,493.0,19.5,4.0,65.14227642276423
2000,1505031,38183,1789.8,0.0,32850.2,0.0,11.0,3457.3,74.7,4.687426341565618
2000,1505064,15432,3105.8,0.0,11157.0,0.0,0.1,1.0,1168.1,20.125712804561953
2000,1505106,28031,1454.2,0.0,20627.2,0.0,2.7,4595.4,1351.5,5.187827762120509
2000,1505205,3863,425.7,0.0,2765.4,0.0,0.3,377.7,293.9,11.01993269479679
2000,1505304,107782,1169.8,0.0,101119.5,4.0,83.5,3636.6,1768.6,1.0853389248668608
2000,1505403,565,397.8,0.0,0.0,0.0,286.4,1.4,0.3,70.4070796460177
2000,1505437,14357,1322.6,0.0,9861.0,0.0,0.4,3169.4,3.6,9.212230967472312
2000,1505486,11851,1555.5,0.0,10295.4,0.0,0.1,0.0,0.0,13.125474643490001
2000,1505494,985,689.1,0.0,270.0,0.0,0.0,0.3,25.6,69.95939086294416
2000,1505502,19465,7212.3,0.0,12208.2,0.0,1.4,7.1,36.0,37.05265861803237
2000,1505536,6968,1119.5,0.0,5761.1,0.0,0.0,85.6,1.8,16.06630309988519
2000,1505551,1674,804.7,0.0,457.5,0.0,0.1,411.7,0.0,48.070489844683394
2000,1505601,454,305.5,0.0,0.0,0.0,454.7,17.1,3.7,67.29074889867842
2000,1505635,3322,2514.1,0.0,744.0,0.0,0.0,0.0,63.9,75.68031306441902
2000,1505650,7173,1226.2,0.0,5946.6,0.0,0.0,0.1,0.1,17.094660532552627
2000,1505700,3378,0.8,0.0,658.3,0.0,1.9,2254.4,462.6,0.023682652457075196
2000,1505809,25425,433.8,0.0,23758.6,0.4,0.4,385.9,845.9,1.706194690265487
2000,1505908,17427,167.1,0.0,12645.7,22.1,2.7,3135.6,1453.8,0.9588569461180925
2000,1506005,14785,814.0,0.0,9444.9,0.9,9.7,2964.4,1551.1,5.5055799797091645
2000,1506104,261,135.5,0.0,0.0,0.0,252.4,9.3,8.0,51.91570881226054
2000,1506112,326,57.6,0.0,67.6,0.0,117.2,24.9,58.7,17.66871165644172
2000,1506138,3830,2511.4,0.0,613.5,0.0,0.1,705.0,0.0,65.57180156657964
2000,1506161,4122,3035.0,0.0,950.9,0.0,0.0,128.6,7.5,73.62930616205725
2000,1506187,8286,4158.2,0.0,4127.8,0.0,0.0,0.0,0.0,50.183441950277576
2000,1506195,7025,1376.1,0.0,5601.1,0.0,0.0,0.0,47.8,19.588612099644127
2000,1506203,219,7.0,0.0,164.7,0.0,15.9,10.5,20.9,3.1963470319634704
